layer,property,halogen,n_layers,n_experiments,mean_of_means,std_of_means,mean_of_stds,min_mean,max_mean
Layer 1,theta_mean,I,2,24,114.57442864523841,41.38725934603373,6.376564750700972,67.61281173785613,221.61865866148034
Layer 1,theta_mean,I,3,21,100.31020657163414,16.646999413417674,3.230671515187643,76.30338999943328,127.35895271225444
Layer 1,theta_min,Cl,1,24,146.07899881270734,46.380394833954895,14.943988148292496,67.56646122730204,256.53337055686825
Layer 1,theta_min,Cl,2,23,129.69304257301877,50.286984687338894,14.040041518573931,49.00611964073067,243.1975217183878
Layer 1,theta_min,Cl,3,22,120.99993644980268,25.725941254635718,15.101165315483833,77.43424897089756,164.7013542699704
Layer 1,theta_min,Br,1,24,123.59763743782838,38.50653941427675,9.08030770703993,69.51134721643197,197.1977479054525
Layer 1,theta_min,Br,2,24,152.25746283805063,47.41401049485972,13.689254907905479,85.12252159773311,289.5175117418915
Layer 1,theta_min,Br,3,23,127.91842441313749,30.95375331629749,13.034382917713458,71.33376178688056,199.36566849191883
Layer 1,theta_min,I,1,23,74.96448505733551,31.030060351268244,5.323232670703441,17.24287572938203,141.60193680987038
Layer 1,theta_min,I,2,24,90.4174664001017,30.337757967681913,4.379705658553792,52.399160740469625,174.4094271229431
Layer 1,theta_min,I,3,21,80.32319562657275,13.466082797591074,3.2892034398081567,51.12249744455848,104.30637286696839
Layer 1,theta_max,Cl,1,24,241.37981351576755,101.58341414391688,26.215980244575594,103.63566903102503,502.3985120284058
Layer 1,theta_max,Cl,2,23,198.5562226047084,76.73461625948319,18.61966272525193,71.12744145168895,362.6185943446172
Layer 1,theta_max,Cl,3,22,180.90550428683662,41.44384191254538,24.912924735655018,119.62283103678561,288.3304206106745
Layer 1,theta_max,Br,1,24,184.2243416542714,49.18467842429743,15.90861584081284,109.41110462837531,311.7230387300781
Layer 1,theta_max,Br,2,24,231.14854209633754,73.16535128381062,17.46668969933631,131.21911797078576,443.11577607938057
Layer 1,theta_max,Br,3,23,200.53824358562014,42.77441313664503,18.151034777042497,125.61650032372133,321.2674662453318
Layer 1,theta_max,I,1,23,121.15912926102635,57.24547353304866,8.854262518986062,29.3989022798975,240.72473320011142
Layer 1,theta_max,I,2,24,138.73139089037508,53.42074644899223,8.656127597721797,79.40716225699548,273.9692565292744
Layer 1,theta_max,I,3,21,120.29721751669551,21.398285133202908,3.9082391548632067,95.818701868023,162.83979121274717
Layer 1,mean_bond_distance,Cl,1,24,2.871337543132513,0.026127573038937632,0.0031143628570381165,2.83786691181482,2.944588537929498
Layer 1,mean_bond_distance,Cl,2,23,2.872956436695408,0.015984124355784262,0.0028959297026920736,2.8460199489133142,2.9114887815950583
Layer 1,mean_bond_distance,Cl,3,22,2.8747683654009033,0.014077749698237253,0.0025687633065534232,2.8562141940729644,2.9166915247875123
Layer 1,mean_bond_distance,Br,1,24,3.0040796894118067,0.01621863520763365,0.0013740465140076041,2.982868273468516,3.04252441125213
Layer 1,mean_bond_distance,Br,2,24,3.0028519484456004,0.010242824814287215,0.0015493596642351393,2.982145041998809,3.0274486699106333
Layer 1,mean_bond_distance,Br,3,23,2.9978690205159864,0.013103211400104951,0.002006799408446319,2.9694528099693214,3.024564748409067
Layer 1,mean_bond_distance,I,1,23,3.190675389457841,0.017687951468217222,0.0017609201752212496,3.1588620938167,3.2429997767919225
Layer 1,mean_bond_distance,I,2,24,3.19498800469624,0.007978245881464367,0.0012624478651011202,3.1762976227376973,3.2137640557273333
Layer 1,mean_bond_distance,I,3,21,3.1935047757332002,0.01154125489477239,0.0012681074815379919,3.168210089183673,3.2185927926592632
Layer 1,bond_distance_variance,Cl,1,24,0.0066331086548603495,0.011472842835350707,0.0015048304905552591,0.00010144982798774229,0.04861063639474044
Layer 1,bond_distance_variance,Cl,2,23,0.002898742820789077,0.002600412792823646,0.0009955907622349266,0.0004203804469539346,0.00898686555747173
Layer 1,bond_distance_variance,Cl,3,22,0.0032711524747503083,0.0035717313766483426,0.0009666774212659588,0.0010840994723462485,0.017446871602622045
Layer 1,bond_distance_variance,Br,1,24,0.00275155605324583,0.0023169310718939066,0.00029683905284055335,1.8954101761672943e-05,0.010420660828215715
Layer 1,bond_distance_variance,Br,2,24,0.007071959542904673,0.0034573652553762575,0.0008526828044390678,0.0029144571576680814,0.01532619525799618
Layer 1,bond_distance_variance,Br,3,23,0.007456054069855635,0.003717324006529893,0.0008675349886047831,0.0024512137034453695,0.016127412243393875
Layer 1,bond_distance_variance,I,1,23,0.002022909472375792,0.002053979002771553,0.00031055041509980526,3.2723161478586516e-05,0.008702108952000883
Layer 1,bond_distance_variance,I,2,24,0.0014578346400560486,0.0009893516397708345,0.00021527665349170804,0.00042028401264849894,0.0042278628703810665
Layer 1,bond_distance_variance,I,3,21,0.0021234692157325653,0.0008693003293366409,0.00018001210525216724,0.0009461058152067522,0.0046019596449859475
Layer 1,octahedral_volume,Cl,1,24,30.845208333333336,0.8853204764459555,0.13479166666666656,28.61,32.725
Layer 1,octahedral_volume,Cl,2,23,31.124999999999996,0.41538864605659026,0.10326086956521739,29.990000000000002,31.975
Layer 1,octahedral_volume,Cl,3,22,31.27386363636363,0.4386286308001071,0.10250000000000012,30.575,32.355000000000004
Layer 1,octahedral_volume,Br,1,24,35.73041666666666,0.593477073046537,0.05124999999999972,34.96,37.03
Layer 1,octahedral_volume,Br,2,24,35.445625,0.4789193280982581,0.08645833333333346,34.405,36.394999999999996
Layer 1,octahedral_volume,Br,3,23,35.40695652173913,0.5125864431099205,0.1160869565217389,34.135,36.3
Layer 1,octahedral_volume,I,1,23,43.02565217391304,0.6694898063380158,0.07608695652173914,41.915,45.085
Layer 1,octahedral_volume,I,2,24,43.117916666666666,0.3846565850285125,0.04833333333333304,42.36,44.08
Layer 1,octahedral_volume,I,3,21,43.063095238095244,0.4686855987505807,0.048333333333333194,42.055,43.97
