layer,property,halogen,n_layers,n_experiments,mean_of_means,std_of_means,mean_of_stds,min_mean,max_mean
Layer 2,mean_bond_distance,Cl,3,22,2.8558819707191847,0.01395054495070403,0.0023100624703450926,2.8274052759126613,2.884980129251886
Layer 2,mean_bond_distance,Br,2,24,3.0172551671614873,0.01092134706551857,0.001807147826727649,2.9990061498903753,3.0479132137995846
Layer 2,mean_bond_distance,Br,3,23,2.9986910940945988,0.013348098618343846,0.0016702928794628197,2.965073826947985,3.021031451079582
Layer 2,mean_bond_distance,I,2,24,3.194290189886447,0.012223119782933793,0.0012265108487333292,3.172111122098476,3.2357367226988485
Layer 2,mean_bond_distance,I,3,21,3.186394594701445,0.009832976376658073,0.0009256987416820715,3.1593495592472323,3.206374561752722
Layer 2,bond_distance_variance,Cl,2,23,0.008668201336954003,0.004084669391366278,0.0017823919909450894,0.0027724227830916706,0.015402352109456514
Layer 2,bond_distance_variance,Cl,3,22,0.0040075569978239994,0.0017844295935706442,0.0009028013362057916,0.0012448056279163269,0.008400192802893393
Layer 2,bond_distance_variance,Br,2,24,0.002958025143646294,0.0026914093159999533,0.0006638164656554169,0.00040434408862832305,0.010341626007033427
Layer 2,bond_distance_variance,Br,3,23,0.004118406238414319,0.002081181690822533,0.0006052189505730448,0.0011160122430937782,0.007867714059985915
Layer 2,bond_distance_variance,I,2,24,0.002024692153418844,0.0017131218343553612,0.0004061185397197965,0.000623413252774741,0.008183312583241129
Layer 2,bond_distance_variance,I,3,21,0.00012942920355138676,0.00023499493368514407,3.967404570758833e-05,2.365141006519538e-06,0.0011127698175107433
Layer 2,octahedral_volume,Cl,2,23,30.513913043478258,0.6708135435996202,0.1930434782608694,29.295,31.58
Layer 2,octahedral_volume,Cl,3,22,30.44840909090909,0.498680130238184,0.06704545454545477,29.615000000000002,31.525
Layer 2,octahedral_volume,Br,2,24,36.07541666666667,0.35570174568598656,0.07125000000000004,35.295,36.855000000000004
Layer 2,octahedral_volume,Br,3,23,35.52478260869565,0.48520023575293453,0.06304347826086984,34.44,36.575
Layer 2,octahedral_volume,I,2,24,43.035000000000004,0.5925791086428881,0.06708333333333376,41.81,44.735
Layer 2,octahedral_volume,I,3,21,42.90857142857142,0.37685588378431584,0.031904761904761644,41.805,43.59
