experiment_name,halogen,n_layers,layer_number,octahedra_count,zeta_mean,zeta_std,zeta_min,zeta_max,zeta_count,delta_mean,delta_std,delta_min,delta_max,delta_count,sigma_mean,sigma_std,sigma_min,sigma_max,sigma_count,theta_mean_mean,theta_mean_std,theta_mean_min,theta_mean_max,theta_mean_count,theta_min_mean,theta_min_std,theta_min_min,theta_min_max,theta_min_count,theta_max_mean,theta_max_std,theta_max_min,theta_max_max,theta_max_count,mean_bond_distance_mean,mean_bond_distance_std,mean_bond_distance_min,mean_bond_distance_max,mean_bond_distance_count,bond_distance_variance_mean,bond_distance_variance_std,bond_distance_variance_min,bond_distance_variance_max,bond_distance_variance_count,octahedral_volume_mean,octahedral_volume_std,octahedral_volume_min,octahedral_volume_max,octahedral_volume_count
MAPbI3_n2_CC(C)(CCCC[NH3+])C(C)(C)CCCC[N,I,2,1,2,0.1497253861769139,0.047043573694312224,0.10268181248260166,0.1967689598712261,2,9.615105376978728e-05,5.4454627939559377e-05,4.1696425830227906e-05,0.00015060568170934666,2,24.516288160271458,1.1383943751954604,23.377893785075997,25.654682535466918,2,78.52918359274983,8.3958627538072,70.13332083894262,86.92504634655702,2,61.635254202039775,3.262689982014603,58.372564220025176,64.89794418405438,2,95.42311298345987,13.52903552559981,81.89407745786006,108.95214850905968,2,3.1856181274186723,0.0004816611766429446,3.1851364662420294,3.1860997885953153,2,0.0009755894654031697,0.000552319378946851,0.0004232700864563186,0.0015279088443500208,2,42.935,0.03500000000000014,42.9,42.97,2
MAPbI3_n2_CC(C)(CCCC[NH3+])C(C)(C)CCCC[N,I,2,2,2,0.19371819553385738,0.03715566380167412,0.15656253173218326,0.2308738593355315,2,0.00015861027968273363,2.798372425968103e-05,0.00013062655542305258,0.00018659400394241464,2,44.32203618426294,0.18102564551875844,44.14101053874418,44.5030618297817,2,109.34493454868942,0.7281075194925748,108.61682702919684,110.07304206818199,2,82.14087394556778,5.592631604939342,76.54824234062843,87.73350555050712,2,136.54899515181106,4.1364165659541925,132.41257858585686,140.68541171776525,2,3.1877139713884683,0.0006872713469787683,3.1870267000414896,3.188401242735447,2,0.0016118442766126211,0.0002850521716913911,0.0013267921049212302,0.0018968964483040123,2,42.795,0.015000000000000568,42.78,42.81,2
MAPbBr3_n1_[NH3+]CC1=CC=C(C[NH3+])C=C1,Br,1,1,2,0.1897593248984104,0.019219436272544854,0.17053988862586555,0.20897876117095526,2,0.0001323799300005148,2.6322399984166315e-05,0.00010605753001634848,0.0001587023299846811,2,32.72841655176991,7.01816223309298,25.71025431867693,39.74657878486289,2,89.46122592240363,18.326720203472142,71.13450571893149,107.78794612587578,2,69.51134721643197,16.391480912812764,53.11986630361921,85.90282812924474,2,109.41110462837531,20.26195949413153,89.14914513424378,129.67306412250684,2,2.991450274187942,0.0005492579990706847,2.9909010161888716,2.991999532187013,2,0.001184551714485391,0.00023511821499379299,0.0009494334994915981,0.001419669929479184,2,35.525,0.045000000000001705,35.48,35.57,2
MAPbCl3_n2_CC(C)(CCCC[NH3+])C(C)(C)CCCC[N,Cl,2,1,2,0.45311786814472454,0.006824049726793957,0.4462938184179306,0.4599419178715185,2,0.0010596869242507543,0.00013779069085474266,0.0009218962333960116,0.0011974776151054969,2,73.11264103503525,9.741579911431586,63.37106112360367,82.85422094646684,2,248.77828059600802,12.519146497407917,236.2591340986001,261.29742709341593,2,198.74011187880922,22.781468819405873,175.95864305940333,221.52158069821508,2,298.8164493132069,2.2568241754099176,296.55962513779696,301.0732734886168,2,2.9114887815950583,0.005133114500867064,2.9063556670941915,2.9166218960959256,2,0.00898686555747173,0.0011996972548518354,0.007787168302619895,0.010186562812323566,2,31.975,0.014999999999998792,31.96,31.99,2
MAPbCl3_n2_CC(C)(CCCC[NH3+])C(C)(C)CCCC[N,Cl,2,2,2,0.33007353376251447,0.017114326388450563,0.3129592073740639,0.34718786015096503,2,0.0005810891596524459,7.420778474457777e-05,0.0005068813749078681,0.0006552969443970237,2,54.1623959600473,4.1395523526935065,50.02284360735379,58.301948312740805,2,144.51410338170547,13.999624428119546,130.51447895358592,158.513727809825,2,113.58053420292089,14.017504033991031,99.56303016892986,127.59803823691192,2,175.44767256049005,13.981744822248103,161.46592773824193,189.42941738273814,2,2.882851204213754,0.0022944558420920913,2.880556748371662,2.885145660055846,2,0.004828355193220193,0.0006090414380269236,0.00421931375519327,0.005437396631247117,2,31.58,0.15000000000000036,31.43,31.73,2
MAPbI3_n2_CC(C)(CCCC[NH3+])CCCC[NH3+],I,2,1,2,0.15512514476590344,0.00023652408258034718,0.1548886206833231,0.1553616688484838,2,0.00010115465679313185,2.9061689012996057e-07,0.00010086403990300188,0.0001014452736832618,2,34.801429154872345,0.00684245096265812,34.79458670390969,34.808271605835,2,96.72539065833593,0.002068003234853677,96.72332265510107,96.72745866157078,2,76.63755883467854,0.0627910878412763,76.57476774683727,76.70034992251982,2,116.81322248199334,0.05865508137155473,116.75456740062178,116.87187756336489,2,3.191351115796852,2.054781636950942e-05,3.1913305679804824,3.1913716636132214,2,0.0010302320909662097,2.973118711676096e-06,0.0010272589722545337,0.0010332052096778859,2,43.075,0.004999999999999005,43.07,43.08,2
MAPbI3_n2_CC(C)(CCCC[NH3+])CCCC[NH3+],I,2,2,2,0.16321633911228917,0.00035196190912456515,0.1628643772031646,0.16356830102141373,2,0.00010927705437325814,2.6477915950383286e-07,0.00010901227521375431,0.00010954183353276198,2,34.942965303723845,0.013313964010684742,34.92965133971316,34.95627926773453,2,96.94477420268194,0.09882668702226026,96.84594751565969,97.04360088970421,2,76.2505472683893,0.08130466757594945,76.16924260081335,76.33185193596525,2,117.6390011369746,0.11634870646856399,117.52265243050603,117.75534984344316,2,3.191290694979221,1.6704095354036497e-05,3.1912739908838668,3.191307399074575,2,0.0011129142433964482,2.684949405387183e-06,0.001110229293991061,0.0011155991928018354,2,43.07,0.0,43.07,43.07,2
MAPbI3_n2_[NH3+]CCC1CCC(CC[NH3+])CC1,I,2,1,2,0.08023315502988226,0.03310657855888954,0.04712657647099272,0.11333973358877181,2,4.1219541022126025e-05,3.063598639088982e-05,1.0583554631236205e-05,7.185552741301584e-05,2,35.3218940993587,2.6031542213176806,32.71873987804102,37.92504832067638,2,96.20669916911541,4.476140916493279,91.73055825262213,100.68284008560869,2,82.39669152947187,4.559257054061199,77.83743447541067,86.95594858353307,2,110.01670680875895,4.393024778925373,105.62368202983359,114.40973158768433,2,3.191444246051036,0.0022998591577521044,3.1891443868932843,3.1937441052087885,2,0.00042028401264849894,0.0003126424682486441,0.00010764154439985483,0.000732926480897143,2,43.045,0.07499999999999929,42.97,43.12,2
MAPbI3_n2_[NH3+]CCC1CCC(CC[NH3+])CC1,I,2,2,2,0.20450614205914075,0.013455786128071079,0.19105035593106967,0.21796192818721183,2,0.00018266186474164174,4.827844914502051e-05,0.00013438341559662124,0.00023094031388666225,2,39.33100495871052,4.61362625895228,34.71737869975824,43.9446312176628,2,107.33808170621023,30.62353420728624,76.71454749892399,137.96161591349647,2,85.59694833298231,29.841874113797243,55.75507421918507,115.43882244677955,2,129.07921507943814,31.40519430077525,97.6740207786629,160.4844093802134,2,3.18969002738341,0.001641935260643157,3.1880480921227665,3.191331962644053,2,0.001857918981053499,0.0004892776874484531,0.0013686412936050457,0.002347196668501952,2,42.95,0.15000000000000213,42.8,43.1,2
MAPbCl3_n3_CC(C)(C[NH3+])C(C)(C)C[NH3+],Cl,3,1,2,0.535101209596248,0.14071787755869813,0.3943833320375498,0.6758190871549461,2,0.002046404207015564,0.0010377194640806538,0.0010086847429349101,0.0030841236710962175,2,63.49884088470794,9.031957680673266,54.46688320403467,72.5307985653812,2,178.62224446351095,14.001400819927198,164.62084364358375,192.62364528343815,2,153.79245521660977,8.860840765695897,144.93161445091388,162.65329598230568,2,203.45203371041214,19.141960874158457,184.31007283625368,222.5939945845706,2,2.9166915247875123,0.006252332435431329,2.9104391923520807,2.9229438572229434,2,0.017446871602622045,0.008902649837853719,0.008544221764768326,0.026349521440475764,2,32.355000000000004,0.02500000000000213,32.33,32.38,2
