experiment,halogen_X,n_octahedra,molecule_number,molecule_key,molecule_formula,n1_to_low_plane,low_plane_to_high_plane,high_plane_to_n2,total_length,penetration_percentage,penetration_asymmetry
MAPbBr3_n3_[NH3+]CCCCCCCC[NH3+]_analysis,Br,3,2,molecule_4,C8H22N2,0.4064703728668113,9.426160911480077,0.6749399981542908,10.507571282501178,11.472436988679641,-0.26846962528747953
MAPbI3_n1_[NH3+]CCCCCC[NH3+]_analysis,I,1,1,molecule_0,C6H18N2,0.26346888610769903,7.969893378186324,0.2204414363504284,8.453803700644452,6.071728936582699,0.04302744975727063
MAPbI3_n1_[NH3+]CCCCCC[NH3+]_analysis,I,1,2,molecule_1,C6H18N2,1.468240964209146,7.927200681444065,1.689069964986028,11.084511610639238,39.82882553466553,-0.22082900077688183
MAPbCl3_n3_[NH3+]CCCCCCCCC[NH3+]_analysis,Cl,3,1,molecule_2,C9H24N2,0.49527694567109326,12.43886974928885,0.3179946185486481,13.252141313508591,6.538146797993743,0.17728232712244518
MAPbCl3_n3_[NH3+]CCCCCCCCC[NH3+]_analysis,Cl,3,2,molecule_4,C9H24N2,0.4444569384036889,11.42755666638855,0.5902592922926863,12.462272897084926,9.054570989262714,-0.14580235388899737
MAPbI3_n3_[NH3+]CC1CCC(C[NH3+])CC1_analysis,I,3,1,molecule_0,C8H20N2,0.5679630890261547,5.151857783860563,0.5813647934231224,6.30118566630984,22.30899863054885,-0.01340170439696775
MAPbI3_n3_[NH3+]CC1CCC(C[NH3+])CC1_analysis,I,3,2,molecule_1,C8H20N2,0.8988153474938257,7.989964045777117,1.3144506860731882,10.20323007934413,27.70057563321298,-0.4156353385793624
MAPbI3_n3_[NH3+]CCCCCCC[NH3+]_analysis,I,3,1,molecule_0,C7H20N2,0.7359283593695605,8.211893265058134,0.7515666179598505,9.699388242387544,18.113910267912875,-0.01563825859029
MAPbI3_n3_[NH3+]CCCCCCC[NH3+]_analysis,I,3,2,molecule_5,C7H20N2,0.734485827578896,8.220751586480272,0.7478579559323327,9.703095369991502,18.031730650383228,-0.013372128353436707
MAPbBr3_n3_CC(C)(C[NH3+])C[NH3+]_analysis,Br,3,1,molecule_1,C5H16N2,0.4228432279264828,7.268218300241872,1.174490515209389,8.865552043377743,21.976964328145122,-0.7516472872829061
