ID,Abbreviation,Alternative_abbreviations,Molecular_formula,SMILE,Common_name,IUPAC_name,CAS,Parent_IUPAC,Parent_SMILE,Parent_CAS,Common_source_compound,Source_compound_CAS,Chemical_formula,Number_of_occurances,Source
36,MIC1,,C4H6NS+,C[N+]1=CSC=C1,N-methyl thiazolium,"3-methyl-1,3-thiazol-3-ium",693-99-2,"3-methyl-1,3-thiazol-3-ium;iodide",C[N+]1=CSC=C1.[I-],31766-74-2,C4H9NS,24050-16-6,,2.0,Perovskite database
37,DPA,,C8H12N+,C[NH+](C)C1=CC=CC=C1,"N,N-dimethylphenylammounium",dimethyl(phenyl)azanium,,"N,N-dimethylaniline",CN(C)C1=CC=CC=C1,121-69-7,C8H12IN,35462-54-5,,2.0,Perovskite database
38,DMA,DI,C2H8N+,C[NH2+]C,Dimethylammonium ,dimethylazanium,49784-85-2,N-methylmethanamine,CNC,124-40-3,C2H8IN,51066-74-1,,14.0,Perovskite database
39,PMA,,C7H10N+,C[NH2+]C1=CC=CC=C1,N-Methylaniline,methyl(phenyl)azanium,,N-methylaniline,CNC1=CC=CC=C1,100-61-8,C7H9N,100-61-8,C6H5NH(CH3),9.0,Perovskite database
40,ADA,Ada,C12H22N+,C[NH2+]CC12CC3CC(C1)CC(C3)C2,(adamantan-1-yl)methanammonium,1-adamantylmethyl(methyl)azanium,,1-(1-adamantyl)-N-methylmethanamine,CNCC12CC3CC(C1)CC(C3)C2,153461-22-4,C12H21N,153461-22-4,,1.0,Perovskite database
41,BrPEMA,"Br-PEA, BrPEA",C9H13BrN+,C[NH2+]CCC1=CC=C(C=C1)Br,2-(4-bromophenyl) ethanaminium,2-(4-bromophenyl)ethyl-methylazanium,,2-(4-bromophenyl)-N-methylethanamine,CNCCC1=CC=C(C=C1)Br,725683-06-7,C9H12BrN,725683-06-7,,1.0,Perovskite database
42,FPEMA,"F-PEA, FPEA",C9H13FN+,C[NH2+]CCC1=CC=C(C=C1)F,2-(4-fluorophenyl) ethanaminium,2-(4-fluorophenyl)ethyl-methylazanium,,2-(4-fluorophenyl)-N-methylethanamine,CNCCC1=CC=C(C=C1)F,459-28-9,C9H12FN,459-28-9,,1.0,Perovskite database
43,MA,,CH6N+,C[NH3+],Methylammonium,methylazanium,17000-00-9,methanamine,CN,74-89-5,CH3NH3I,14965-49-2,CH3NH3+,38202.0,Perovskite database
44,TMS,(CH3)3S,C3H9S+,C[S+](C)C,Trimethylsulfonium,trimethylsulfanium,676-84-6,trimethylsulfanium;iodide,C[S+](C)C.[I-],2181-42-2,C3H9SBr,3084-53-5, (CH3)3S,8.0,Perovskite database
45,ALA,,C3H8N+,C=CC[NH3+],Allylammonium ,prop-2-enylazanium,,prop-2-en-1-amine,C=CCN,107-11-9,C3H8ClN,,,2.0,Perovskite database
