ID,Abbreviation,Alternative_abbreviations,Molecular_formula,SMILE,Common_name,IUPAC_name,CAS,Parent_IUPAC,Parent_SMILE,Parent_CAS,Common_source_compound,Source_compound_CAS,Chemical_formula,Number_of_occurances,Source
211,BPA,,C3H9BrN+  ,C(C[NH3+])CBr,3-bromopropylammonium,3-bromopropylazanium ,,3-bromopropan-1-amine,C(CN)CBr,18370-81-5,,,,,2D database
212,ThYEA,,C10H12NS2+,C1=CSC(=C1)C2=CC=C(S2)CC[NH3+],2-(5-thiophen-2-ylthiophen-2-yl)ethylazanium,2-(5-thiophen-2-ylthiophen-2-yl)ethylazanium,,2-(5-thiophen-2-ylthiophen-2-yl)ethanamine,C1=CSC(=C1)C2=CC=C(S2)CCN,,,,,,2D database
213,BPP,,C5H5BrN+,C1=CC(=C[NH+]=C1)Br,3-bromopyridinium,3-bromopyridin-1-ium,,3-bromopyridine,C1=CC(=CN=C1)Br,626-55-1,,,,,2D database
214,SEA,,C2H8NS+,C(CS)[NH3+],Cysteamine,2-sulfanylethylazanium,,2-aminoethanethiol,C(CS)N,60-23-1,,,,,2D database
215,TMHDA,,C10H18N2+2 ,C[NH+](C)C1=CC=C(C=C1)[NH+](C)C,"N,N,N',N'-tetramethyl-1,6-hexanediammonium",[4-(dimethylazaniumyl)phenyl]-dimethylazanium,,"1-N,1-N,4-N,4-N-tetramethylbenzene-1,4-diamine",CN(C)C1=CC=C(C=C1)N(C)C,100-22-1,C10H18Cl2N2,637-01-4,,,2D database
216,TMEDA,,C6H18N2+2,C[NH+](C)CC[NH+](C)C,"N,N,N',N'-tetramethylethylenediammonium",2-(dimethylazaniumyl)ethyl-dimethylazanium,,"N,N,N',N'-tetramethylethane-1,2-diamine",CN(C)CCN(C)C,110-18-9,,,,,2D database
217,DCPEA,dCl-PEA,C8H10Cl2N+,C1=C(C=C(C=C1Cl)Cl)CC[NH3+],"2-(3,5-Dichlorophenyl)ethyl-1-ammonium","2-(3,5-dichlorophenyl)ethylazanium",,"2-(3,5-dichlorophenyl)ethanamine",C1=C(C=C(C=C1Cl)Cl)CCN,67851-51-8,,,,,2D database
218,AAA,,C2H6NO2+,C(C(=O)O)[NH3+],(2-carboxy)methylammonium,carboxymethylazanium,,2-aminoacetic acid,C(C(=O)O)N,56-40-6,,,,,2D database
219,MMA,,C8H12NO+,C[NH2+]C1=CC=C(C=C1)OC,4-Methoxy-N-methylanilinium,(4-methoxyphenyl)-methylazanium,,4-methoxy-N-methylaniline,NC1=CC=C(C=C1)OC,5961-59-1,,,,,2D database
220,BMA,,C8H12N+,C[NH2+]CC1=CC=CC=C1,4-methylbenzylammonium,benzyl(methyl)azanium,,N-methyl-1-phenylmethanamine,CNCC1=CC=CC=C1,103-67-3,,,,,2D database
221,BPMM,,C8H11BrN+ ,C[NH2+]CC1=CC(=CC=C1)Br,3-bromo-N-methylbenzylammonium, (3-bromophenyl)methyl-methylazanium ,,1-(3-bromophenyl)-N-methylmethanamine,CNCC1=CC(=CC=C1)Br,67344-77-8,,,,,2D database
222,CPMM,,C8H11ClN+  ,C[NH2+]CC1=CC(=CC=C1)Cl,3-chloro-N-methylbenzylammonium,(3-chlorophenyl)methyl-methylazanium ,,1-(3-chlorophenyl)-N-methylmethanamine,CNCC1=CC(=CC=C1)Cl,39191-07-6,,,,,2D database
223,HPEM,,C9H14NO+,C[NH2+]CCC1=CC=C(C=C1)O,2-(4-Methoxyphenyl)ethyl-1-ammonium,2-(4-hydroxyphenyl)ethyl-methylazanium,,4-[2-(methylamino)ethyl]phenol,CNCCC1=CC=C(C=C1)O,370-98-9,,,,,2D database
224,TMP,,C5H16NP+2,C[P+](C)(C)CC[NH3+],(2-aminoethyl)trimethylphosphanium,2-azaniumylethyl(trimethyl)phosphanium,,2-aminoethyl(trimethyl)phosphanium;chloride,C[P+](C)(C)CCN.[Cl-],,,,,,2D database
225,NBA,,C14H18NO+,C1=CC=C2C(=C1)C=CC=C2OCCCC[NH3+],4-[(Naphthalen-1-yl)oxy]butyl-1-ammonium,4-naphthalen-1-yloxybutylazanium,,4-naphthalen-1-yloxybutan-1-amine,C1=CC=C2C(=C1)C=CC=C2OCCCCN,,,,,,2D database
226,MLA,,C3H8N6+2,C1(=[NH+]C(=NC(=[NH+]1)N)N)N,Melamine,"1,3,5-triazin-1-ium-2,4,6-triamine",108-78-1,"1,3,5-triazine-2,4,6-triamine",C1(=NC(=NC(=N1)N)N)N,108-78-1,,,,,2D database
227,TFBDA,4F-PhDMA,C8H9F4N2+,C(C1=C(C(=C(C(=C1F)F)CN)F)F)[NH3+],"2,3,5,6-tetrafluoro-1,4-phenylenedimethanammonium","[4-(aminomethyl)-2,3,5,6-tetrafluorophenyl]methylazanium",,"[4-(aminomethyl)-2,3,5,6-tetrafluorophenyl]methanamine",C(C1=C(C(=C(C(=C1F)F)CN)F)F)N,89992-50-7,,,,,2D database
228,TT,,C22H20NS5+,[NH3+]CCc1ccc(s1)C1C=C(C)C(S1)c1sc2cc(sc2c1)c1sccc1C,Thienothiophene,"2-[5-[4-methyl-5-[2-(3-methylthiophen-2-yl)thieno[3,2-b]thiophen-5-yl]-2,5-dihydrothiophen-2-yl]thiophen-2-yl]ethylazanium",,"2-[5-[4-methyl-5-[2-(3-methylthiophen-2-yl)thieno[3,2-b]thiophen-5-yl]-2,5-dihydrothiophen-2-yl]thiophen-2-yl]ethanamine",NCCc1ccc(s1)C1C=C(C)C(S1)c1sc2cc(sc2c1)c1sccc1C,,,,,,2D database
229,DTT,,C24H20NS6+,[NH3+]CCc1ccc(s1)C1C=C(C)C(S1)c1sc2c3sc(cc3sc2c1)c1sccc1C,Dithienothiophene,"2-[5-[4-methyl-5-[10-(3-methylthiophen-2-yl)-3,7,11-trithiatricyclo[6.3.0.0^2,6]undeca-1(8),2(6),4,9-tetraen-4-yl]-2,5-dihydrothiophen-2-yl]thiophen-2-yl]ethylazanium",,"2-[5-[4-methyl-5-[10-(3-methylthiophen-2-yl)-3,7,11-trithiatricyclo[6.3.0.0^2,6]undeca-1(8),2(6),4,9-tetraen-4-yl]-2,5-dihydrothiophen-2-yl]thiophen-2-yl]ethanamine",NCCc1ccc(s1)C1C=C(C)C(S1)c1sc2c3sc(cc3sc2c1)c1sccc1C,,,,,,2D database
230,FMA,,C7H9FN+,C1=CC(=CC(=C1)F)C[NH3+],3-fluoro-N-methylbenzylammonium,(3-fluorophenyl)methylazanium,,(3-fluorophenyl)methanamine,C1=CC(=CC(=C1)F)CN,100-82-3,,,,,2D database
231,AEIM,,C5H10N3+,C1=NC=NC1CC[NH3+],4-(2-aminoethyl)imidazolium,2-(4H-imidazol-4-yl)ethylazanium,,2-(4H-imidazol-4-yl)ethanamine,C1=NC=NC1CCN,,,,,,2D database
232,PYYEA,,C7H11N2+,C1=CC(=CN=C1)CC[NH3+],2-(3-Pyridyl)ethylammonium,2-pyridin-3-ylethylazanium,,2-pyridin-3-ylethanamine,C1=CC(=CN=C1)CCN,20173-24-4,,,,,2D database
233,IMIEA,,C5H11N3+2,C1=C[NH+]=C(N1)CC[NH3+],2-(2-aminoethyl)imidazolium,2-(1H-imidazol-3-ium-2-yl)ethylazanium,,2-(1H-imidazol-2-yl)ethanamine,C1=CN=C(N1)CCN,19225-96-8,,,,,2D database
234,Ph12D,,C8H14N2+2,C1=CC=C(C=C1)[NH2+]CC[NH3+],"N-phenylethane-1,2-diammonium",2-azaniumylethyl(phenyl)azanium,,"N'-phenylethane-1,2-diamine",C1=CC=C(C=C1)NCCN,1664-40-0,,,,,2D database
235,BPEA,,C14H16N+,C1=CC=C(C=C1)C2=CC=C(C=C2)CC[NH3+],2-(4-biphenyl)ethylammonium,2-(4-phenylphenyl)ethylazanium,,2-(4-phenylphenyl)ethanamine,C1=CC=C(C=C1)C2=CC=C(C=C2)CCN,17027-51-9,C14H16IN,27132-46-3,,,2D database
236,FPP,,C13H15N2F+2,[NH3+]C1=CC=C(C=C1)C2=C(C=C(C=C2)C[NH3+])F,"2-fluoro-[1,1'-biphenyl]-4,4'-dicarbonitrile",[4-[4-(azaniumylmethyl)-2-fluorophenyl]phenyl]azanium,,4-[4-(aminomethyl)-2-fluorophenyl]aniline,NC1=CC=C(C=C1)C2=C(C=C(C=C2)CN)F,,,,,,2D database
237,NAMA,,C11H12N+,C1=CC=C2C=C(C=CC2=C1)C[NH3+],naphthalen-2-ylmethylazanium,naphthalen-2-ylmethylazanium,,naphthalen-2-ylmethanamine,C1=CC=C2C=C(C=CC2=C1)CN,2018-90-8,,,,,2D database
238,NAETA,NEA,C12H14N+,C1=CC=C2C=C(C=CC2=C1)CC[NH3+],2-naphthalen-2-ylethylazanium,2-naphthalen-2-ylethylazanium,,2-naphthalen-2-ylethanamine,C1=CC=C2C=C(C=CC2=C1)CCN,2017-68-7,,,,,2D database
239,TBLM,2tTBlm1,C15H9N2S2+,S1C(=CC=C1)C1=CC=C(S1)C1=CC2=C(NC[NH2+]2)C=C1,5-(5-(thiophen-2-yl)thiophen-2-yl)-1H-benzo[d]imidazolium,"5-(5-thiophen-2-ylthiophen-2-yl)-2,3-dihydro-1H-benzimidazol-3-ium",,"5-(5-thiophen-2-ylthiophen-2-yl)-2,3-dihydro-1H-benzimidazole",C4NC1=C(C=CC(=C1)C2=CC=C(S2)C3=CC=CS3)N4,,,,,,2D database
240,FP,FP,C4H9FN+,C1C[NH2+]CC1F,3-fluoropyrrolidinium,3-fluoropyrrolidin-1-ium,,3-fluoropyrrolidine,C1CNCC1F,679431-51-7,,,,,2D database
241,DFP,DFP,C4H8F2N+,C1C[NH2+]CC1(F)F,3-fluoropyrrolidinium,"3,3-difluoropyrrolidin-1-ium",,"3,3-difluoropyrrolidine",C1CNCC1(F)F,316131-01-8,,,,,2D database
242,DTPA,,C11H20S2N+,[NH3+]CCCC1=CSC(=C1)C2=CC=CS2,"2,2'-bithiophene",3-(5-thiophen-2-ylthiophen-3-yl)propylazanium,,3-(5-thiophen-2-ylthiophen-3-yl)propan-1-amine,NCCCC1=CSC(=C1)C2=CC=CS2,,,,,,2D database
243,CCA,,C7H14NO2+,C1CC(CCC1C(=O)O)[NH3+],4-aminocyclohexanecarboxylic acid,(4-carboxycyclohexyl)azanium,,4-aminocyclohexane-1-carboxylic acid,C1CC(CCC1C(=O)O)N,1776-53-0,,,,,2D database
244,CCMA,,C8H16NO2+,C1CC(CCC1C[NH3+])C(=O)O,4-Aminomethyl-1-cyclohexanecarboxylate,(4-carboxycyclohexyl)methylazanium,,4-(aminomethyl)cyclohexane-1-carboxylic acid,C1CC(CCC1CN)C(=O)O,701-54-2,,,,,2D database
245,CHDMA,,C8H20N2+2,C1CC(CCC1C[NH3+])C[NH3+],"1,4-cyclohexanedimethylammonium",[4-(azaniumylmethyl)cyclohexyl]methylazanium,,[4-(aminomethyl)cyclohexyl]methanamine,C1CC(CCC1CN)CN,2549-93-1,,,,,2D database
246,OYA,,C5H12NO+,C1CC(COC1)[NH3+],tetrahydropyranylammonium,oxan-3-ylazanium,,oxan-3-amine,C1CC(COC1)N,120811-32-7,,,,,2D database
247,R-CHD,,C6H16N2+2,C1CCC(C(C1)[NH3+])N,"(1R, 2R)-(-)-1,2-Cyclohexanediammonium",(2-azaniumylcyclohexyl)azanium,,"cyclohexane-1,2-diamine",C1CCC(C(C1)N)N,694-83-7,,,,,2D database
248,S-CHD,,C6H16N2+2,C1CCC(C(C1)[NH3+])N,"(1S, 2S)-(+)-1,2-Diaminocyclohexane",(2-azaniumylcyclohexyl)azanium,,"cyclohexane-1,2-diamine",C1CCC(C(C1)N)N,694-83-7,,,,,2D database
249,PPAE,,C7H18N2+2,C1CC[NH+](CC1)CC[NH3+],2-(aminoethyl)piperidinium,2-piperidin-1-ium-1-ylethylazanium,,2-piperidin-1-ylethanamine,C1CCN(CC1)CCN,27578-60-5,,,,,2D database
250,PPIEA,,C6H17N3+2,C1CN(CC[NH2+]1)CC[NH3+],1-(2-Aminoethyl)piperazinium,2-piperazin-4-ium-1-ylethylazanium,,2-piperazin-1-ylethanamine,C1CN(CCN1)CCN,140-31-8,,,,,2D database
251,DFPD,,C5H10F2N+,C1C[NH2+]CCC1(F)F,"4,4-difluoropiperidinium","4,4-difluoropiperidin-1-ium",,"4,4-difluoropiperidine",C1CNCCC1(F)F,21987-29-1,,,,,2D database
252,APDA,,C5H16N2+2,C[NH+](C)CCC[NH3+],"N,N-dimethyl-1,3-diaminopropane",3-azaniumylpropyl(dimethyl)azanium,,"N',N'-dimethylpropane-1,3-diamine",CN(C)CCCN,109-55-7,,,,,2D database
253,R-BPEA,,C8H11BrN+,CC(C1=CC=C(C=C1)Br)[NH3+],R-1-(4-bromophenyl)ethylaminium,1-(4-bromophenyl)ethylazanium,,1-(4-bromophenyl)ethanamine,CC(C1=CC=C(C=C1)Br)N,24358-62-1,,,,,2D database
254,S-BPEA,,C8H11BrN+,CC(C1=CC=C(C=C1)Br)[NH3+],S-1-(4-bromophenyl)ethylaminium,1-(4-bromophenyl)ethylazanium,,1-(4-bromophenyl)ethanamine,CC(C1=CC=C(C=C1)Br)N,27298-97-1,,,,,2D database
255,NAYEA,,C12H14N+,CC(C1=CC2=CC=CC=C2C=C1)[NH3+],1-(2-naphthyl)ethylammonium,[(1R)-1-naphthalen-2-ylethyl]azanium,,(1R)-1-naphthalen-2-ylethanamine,CC(C1=CC2=CC=CC=C2C=C1)N,3906-16-9,,,,,2D database
256,MePEA,2meptH2,C6H18N2+2,CC(CCC[NH3+])C[NH3+],"2-Methylpentane-1,5-diammonium",(5-azaniumyl-2-methylpentyl)azanium,,"2-methylpentane-1,5-diamine",CC(CCCN)CN,15520-10-2,,,,,2D database
257,MeBA,,C5H14N+,CCC(C)C[NH3+],(S)-(−)-2-methylbutylammonium,[(2S)-2-methylbutyl]azanium,,(2S)-2-methylbutan-1-amine,CCC(C)CN,34985-37-0,,,,,2D database
258,PRA,,C16H12N+,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)[NH3+],pyren-1-amine,pyren-1-ylazanium,,pyren-1-amine,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)N,1606-67-3,,,,,2D database
259,PRMA,,C17H14N+,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)C[NH3+],pyren-1-ylmethanamine,pyren-1-ylmethylazanium,,pyren-1-ylmethanamine,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CN,3786-54-7,,,,,2D database
260,PREA,,C18H16N+,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CC[NH3+],2-pyren-1-ylethanamine,2-pyren-1-ylethylazanium,,2-pyren-1-ylethanamine,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CCN,197722-88-6,,,,,2D database
261,DFHHA,,C6H12F2N+,C1CC(CC[NH2+]C1)(F)F,4-fluorohexahydroazepine,"4,4-difluoroazepan-1-ium",,"4,4-difluoroazepane",C1CC(CCNC1)(F)F,1094073-72-9,,,,,2D database
262,TMTPT,Me3TPT,C21H21N6+3,C[N+]1=CC=C(C=C1)C2=NC(=NC(=N2)C3=CC=[N+](C=C3)C)C4=CC=[N+](C=C4)C,"Trimethyl-2,4,6-tris(4-pyridyl)-1,3,5-triazine","2,4,6-tris(1-methylpyridin-1-ium-4-yl)-1,3,5-triazine",42517-85-1,,,,,,,,2D database
263,FMPE,,C7H9FN+,CC1=C(C=C(C=C1)[NH3+])F,3-fluoro-N-methylanilinium,(3-fluoro-4-methylphenyl)azanium,,3-fluoro-4-methylaniline,CC1=C(C=C(C=C1)N)F,452-77-7,,,,,2D database
264,MePhEA,,C9H14N+,CC1=CC(=CC=C1)CC[NH3+],2-(3-Methylphenyl)ethylammonium,2-(3-methylphenyl)ethylazanium,55755-17-4,2-(3-methylphenyl)ethanamine,CC1=CC(=CC=C1)CCN,55755-17-4,,,,,2D database
265,MMPEA,,C9H14N+,CC1=CC=C(C=C1)C(C)[NH3+],1-(p-tolyl)ethylammonium,1-(4-methylphenyl)ethylazanium,,1-(4-methylphenyl)ethanamine,CC1=CC=C(C=C1)C(C)N,586-70-9,,,,,2D database
266,ETOEA,,C6N5O2H12+,C(C)OC1=NN=C(N=N1)OCC[NH3+],"2-(6-ethoxy-1,2,4,5-tetrazin-3-yl)oxyethylammonium","2-[(6-ethoxy-1,2,4,5-tetrazin-3-yl)oxy]ethylazanium",,"2-[(6-ethoxy-1,2,4,5-tetrazin-3-yl)oxy]ethylazanium",C(C)OC1=NN=C(N=N1)OCCN,,,,,,2D database
267,TDMP,,C6H15N2+,CC1C[NH2+]C(CN1)C,"Trans-2,5-dimethyl piperazine","2,5-dimethylpiperazin-1-ium",,"2,5-dimethylpiperazine",CC1CNC(CN1)C,106-55-8,,,,,2D database
268,PPPA,,C7H18N2+2,CCC[NH+]1CC[NH2+]CC1,Propylpiperazinium,"1-propylpiperazine-1,4-diium",,1-propylpiperazine,CCCN1CCNCC1,50733-94-3,,,,,2D database
269,PhMEA,,C9H14N+ ,CCC[NH2+]C1=CC=CC=C1,Phenyl-2-methylethylammonium,phenyl(propyl)azanium,,N-propylaniline,CCCNC1=CC=CC=C1,622-80-0,,,,,2D database
270,2TImI,,C11H9N2S2+,S1C(=CC=C1)C1=CC=C(S1)C=1[NH+]=CNC1,4-(5-(thiophen-2-yl)thiophen-2-yl)-1H-imidazolium,4-(5-thiophen-2-ylthiophen-2-yl)imidazol-1-ium,,4-(5-thiophen-2-ylthiophen-2-yl)-1H-imidazole,S1C(=CC=C1)C1=CC=C(S1)C=1N=CNC1,,,,,,2D database
271,MF,,C4H13N5+2,C[N+](=C(N)[NH+]=C(N)N)C,"N,N-dimethylbiguanidinium",[amino(diaminomethylideneazaniumyl)methylidene]-dimethylazanium,,"2-carbamimidoyl-1,1-dimethylguanidine",CN(C)C(=NC(=N)N)N,657-24-9,,,,,2D database
272,CNA,,C10H22NO2+,C(CCCCC(=O)O)CCCC[NH3+],9-carboxynonylazanium,9-carboxynonylazanium,,10-aminodecanoic acid,C(CCCCC(=O)O)CCCCN,,,,,,2D database
273,TDA,,C13H30N+,CCCCCCCCCCCCC[NH3+],Tridecylammonium,tridecylazanium,,tridecan-1-amine,CCCCCCCCCCCCCN,2869-34-3,,,,,2D database
274,PENDA,,C15H34N+,CCCCCCCCCCCCCCC[NH3+],Pentadecylammonium,pentadecylazanium,,pentadecan-1-amine,CCCCCCCCCCCCCCCN,2570-26-5,,,,,2D database
275,HEXDA,,C16H36N+,CCCCCCCCCCCCCCCC[NH3+],Hexadecylammonium,hexadecylazanium,1602-97-7,hexadecan-1-amine,CCCCCCCCCCCCCCCCN,143-27-1,,,,,2D database
276,DDNA,,C10H16N+,CCCCC#CC#CCC[NH3+],"Deca-3,5-diyn-1-ammonium","deca-3,5-diynylazanium",,"deca-3,5-diyn-1-amine",CCCCC#CC#CCCN,,,,,,2D database
277,TFAI,2TFAI,C10H14N2SO+,[NH3+]C(N)CC1=CC=C(S1)C2=CC=CS2,2-(5-(thiophen-2-yl)thiophen-2-yl)acetamidinium,[1-amino-2-(5-thiophen-2-ylthiophen-2-yl)ethyl]azanium,,"2-(5-thiophen-2-ylthiophen-2-yl)ethane-1,1-diamine",NC(N)CC1=CC=C(S1)C2=CC=CS2,,,,,,2D database
278,UDA,,C11H26N+,CCCCCCCCCCC[NH3+],Undecylammonium,undecylazanium,,undecan-1-amine,CCCCCCCCCCCN,7307-55-3,,,,,2D database
279,FPT,,C12FH14N2S+2,[NH3+]CC1=CC(=C(C=C1)C1=CC=C(S1)C[NH3+])F,(5-(4-(ammoniomethyl)-2-fluorophenyl)thiophen-2-yl)methanaminium,[NH3+]CC1=CC(=C(C=C1)C1=CC=C(S1)C[NH3+])F,,[4-[5-(aminomethyl)thiophen-2-yl]-3-fluorophenyl]methanamine,NCC1=CC(=C(C=C1)C1=CC=C(S1)CN)F,,,,,,2D database
280,IDPA,,C3H9IN+,CC(C[NH3+])I,2-iodopropylammonium,2-iodopropylazanium,,2-iodopropan-1-amine,CC(CN)I,20893-41-8,,,,,2D database
281,DMPDA,DMePDA,C5H15N2+,CN(C)CCC[NH3+],"N,N-dimethylpropane-1,3-diammonium",3-(dimethylamino)propylazanium,,"N',N'-dimethylpropane-1,3-diamine",CN(C)CCCN,109-55-7,,,,,2D database
282,PROPA,,C5H15N2+,C[NH2+]CCC[NH2+]C,"N,N'-dimethyl-1,3-propanediammonium",methyl-[3-(methylazaniumyl)propyl]azanium,,"N,N'-dimethylpropane-1,3-diamine",CNCCCNC,111-33-1,,,,,2D database
283,MH,,CH7N2+,CN[NH3+],Methylhydrazinium,methylaminoazanium,,methylhydrazine,CNN,60-34-4,,,,,2D database
284,MPRA,MPA,C4H12NO+ ,COCCC[NH3+],γ-Methoxypropylammonium,3-methoxypropylazanium  ,,3-methoxypropan-1-amine,COCCCN,5332-73-0,,,,,2D database
285,CP,3CP,C6H5N2+,C1=CC=[NH+]C(=C1)C#N,Cyanopyridinium,pyridin-1-ium-2-carbonitrile,82105-90-6,pyridine-2-carbonitrile,C1=CC=NC(=C1)C#N,100-70-9,,,,,2D database
286,CYEA,,"
C3H7N2+",C(C[NH3+])C#N,2-cyanoethylammonium,2-cyanoethylazanium,,3-aminopropanenitrile,C(CN)C#N,151-18-8,,,,,2D database
287,PIYEA,,C7H12N2+2,C1=CC=[NH+]C(=C1)CC[NH3+],2-(2-Pyridyl)ethylammonium,2-pyridin-1-ium-2-ylethylazanium,,2-pyridin-2-ylethanamine,C1=CC=NC(=C1)CCN,2706-56-1,,,,,2D database
288,ATHP,,C5H12NO+,C1COCCC1[NH3+],tetrahydropyranylammonium,oxan-4-ylazanium,,oxan-4-amine,C1COCCC1N,38041-19-9,,,,,2D database
289,BTm,,C22H20N3S4+,CC1=C(SC=C1)C2=CC=C(C3=NSN=C23)C4=C(C=C(S4)C5=CC=C(S5)CC[NH3+])C,"2-[5-[4-methyl-5-[7-(3-methylthiophen-2-yl)-2,1,3-benzothiadiazol-4-yl]thiophen-2-yl]thiophen-2-yl]ethylammonium","2-[5-[4-methyl-5-[7-(3-methylthiophen-2-yl)-2,1,3-benzothiadiazol-4-yl]thiophen-2-yl]thiophen-2-yl]ethylazanium",,"2-[5-[4-methyl-5-[7-(3-methylthiophen-2-yl)-2,1,3-benzothiadiazol-4-yl]thiophen-2-yl]thiophen-2-yl]ethanamine",CC1=C(SC=C1)C2=CC=C(C3=NSN=C23)C4=C(C=C(S4)C5=CC=C(S5)CCN)C,,,,,,2D database
290,Tu,,CH5N2S+,C(=S)([NH3+])N,thiourea,carbamothioylazanium,,thiourea,C(=S)(N)N,62-56-6,,,,,2D database
291,ClCA,MBA,C6H13ClN+,C1CC(CCC1[NH3+])Cl,R-4-Cl-MBA,(4-chlorocyclohexyl)azanium,,4-chlorocyclohexan-1-amine,C1CC(CCC1N)Cl,,,,,,2D database
292,MNBA,,C5H13O2N2+,ON(O)C1CCC([NH3+])CC1,(S)-α-methyl-4-nitrobenzylamonium,[4-(dihydroxyamino)cyclohexyl]azanium,,"4-N,4-N-dihydroxycyclohexane-1,4-diamine",ON(O)C1CCC(N)CC1,,,,,,2D database
293,4T,,C18H16S4N+,C1=C(SC=C1)C2=CC=C(S2)C3=CC=C(S3)C4=CC=C(S4)CC[NH3+],"2-(3''',4'-dimethyl- [2,2':5',2'':5'',2'''- quaterthiophen]-5-yl)ethan-1-ammonium",2-[5-[5-(5-thiophen-2-ylthiophen-2-yl)thiophen-2-yl]thiophen-2-yl]ethylazanium,,2-[5-[5-(5-thiophen-2-ylthiophen-2-yl)thiophen-2-yl]thiophen-2-yl]ethanamine,C1=C(SC=C1)C2=CC=C(S2)C3=CC=C(S3)C4=CC=C(S4)CCN,,,,,,2D database
294,NAA,1-NA,C10H10N+,C1=CC=C2C(=C1)C=CC=C2[NH3+],1-naphthylamine,naphthalen-1-ylazanium,70450-98-5,naphthalen-1-amine,C1=CC=C2C(=C1)C=CC=C2N,134-32-7,,,,,Paper
295,FUMA,FuMA,C5H8NO+,C1=COC(=C1)C[NH3+],2-furfurylammonium,furan-2-ylmethylazanium,,furan-2-ylmethanamine,C1=COC(=C1)CN,617-89-0,,,,,Paper
