Index,perovskite_ion_type,abbreviation,alternative_abbreviations,molecular_formula,smile,common_name,iupac_name,cas_number,source_compound_iupac_name,source_compound_smile,source_compound_cas_number,number_of_occurances_in_the_perovskite_database,source
229,A,DTT,,C24H20NS6+,[NH3+]CCc1ccc(s1)C1C=C(C)C(S1)c1sc2c3sc(cc3sc2c1)c1sccc1C,Dithienothiophene,"2-[5-[4-methyl-5-[10-(3-methylthiophen-2-yl)-3,7,11-trithiatricyclo[6.3.0.0^2,6]undeca-1(8),2(6),4,9-tetraen-4-yl]-2,5-dihydrothiophen-2-yl]thiophen-2-yl]ethylazanium",,"2-[5-[4-methyl-5-[10-(3-methylthiophen-2-yl)-3,7,11-trithiatricyclo[6.3.0.0^2,6]undeca-1(8),2(6),4,9-tetraen-4-yl]-2,5-dihydrothiophen-2-yl]thiophen-2-yl]ethanamine",NCCc1ccc(s1)C1C=C(C)C(S1)c1sc2c3sc(cc3sc2c1)c1sccc1C,,,2D database
230,A,FMA,,C7H9FN+,C1=CC(=CC(=C1)F)C[NH3+],3-fluoro-N-methylbenzylammonium,(3-fluorophenyl)methylazanium,,(3-fluorophenyl)methanamine,C1=CC(=CC(=C1)F)CN,100-82-3,,2D database
231,A,AEIM,,C5H10N3+,C1=NC=NC1CC[NH3+],4-(2-aminoethyl)imidazolium,2-(4H-imidazol-4-yl)ethylazanium,,2-(4H-imidazol-4-yl)ethanamine,C1=NC=NC1CCN,,,2D database
232,A,PYYEA,,C7H11N2+,C1=CC(=CN=C1)CC[NH3+],2-(3-Pyridyl)ethylammonium,2-pyridin-3-ylethylazanium,,2-pyridin-3-ylethanamine,C1=CC(=CN=C1)CCN,20173-24-4,,2D database
233,A,IMIEA,,C5H11N3+2,C1=C[NH+]=C(N1)CC[NH3+],2-(2-aminoethyl)imidazolium,2-(1H-imidazol-3-ium-2-yl)ethylazanium,,2-(1H-imidazol-2-yl)ethanamine,C1=CN=C(N1)CCN,19225-96-8,,2D database
234,A,Ph12D,,C8H14N2+2,C1=CC=C(C=C1)[NH2+]CC[NH3+],"N-phenylethane-1,2-diammonium",2-azaniumylethyl(phenyl)azanium,,"N'-phenylethane-1,2-diamine",C1=CC=C(C=C1)NCCN,1664-40-0,,2D database
235,A,BPEA,,C14H16N+,C1=CC=C(C=C1)C2=CC=C(C=C2)CC[NH3+],2-(4-biphenyl)ethylammonium,2-(4-phenylphenyl)ethylazanium,,2-(4-phenylphenyl)ethanamine,C1=CC=C(C=C1)C2=CC=C(C=C2)CCN,17027-51-9,,2D database
236,A,FPP,,C13H15N2F+2,[NH3+]C1=CC=C(C=C1)C2=C(C=C(C=C2)C[NH3+])F,"2-fluoro-[1,1'-biphenyl]-4,4'-dicarbonitrile",[4-[4-(azaniumylmethyl)-2-fluorophenyl]phenyl]azanium,,4-[4-(aminomethyl)-2-fluorophenyl]aniline,NC1=CC=C(C=C1)C2=C(C=C(C=C2)CN)F,,,2D database
237,A,NAMA,,C11H12N+,C1=CC=C2C=C(C=CC2=C1)C[NH3+],naphthalen-2-ylmethylazanium,naphthalen-2-ylmethylazanium,,naphthalen-2-ylmethanamine,C1=CC=C2C=C(C=CC2=C1)CN,2018-90-8,,2D database
238,A,NAETA,NEA,C12H14N+,C1=CC=C2C=C(C=CC2=C1)CC[NH3+],2-naphthalen-2-ylethylazanium,2-naphthalen-2-ylethylazanium,,2-naphthalen-2-ylethanamine,C1=CC=C2C=C(C=CC2=C1)CCN,2017-68-7,,2D database
239,A,TBLM,2tTBlm1,C15H9N2S2+,S1C(=CC=C1)C1=CC=C(S1)C1=CC2=C(NC[NH2+]2)C=C1,5-(5-(thiophen-2-yl)thiophen-2-yl)-1H-benzo[d]imidazolium,"5-(5-thiophen-2-ylthiophen-2-yl)-2,3-dihydro-1H-benzimidazol-3-ium",,"5-(5-thiophen-2-ylthiophen-2-yl)-2,3-dihydro-1H-benzimidazole",C4NC1=C(C=CC(=C1)C2=CC=C(S2)C3=CC=CS3)N4,,,2D database
240,A,FP,FP,C4H9FN+,C1C[NH2+]CC1F,3-fluoropyrrolidinium,3-fluoropyrrolidin-1-ium,,3-fluoropyrrolidine,C1CNCC1F,679431-51-7,,2D database
241,A,DFP,DFP,C4H8F2N+,C1C[NH2+]CC1(F)F,3-fluoropyrrolidinium,"3,3-difluoropyrrolidin-1-ium",,"3,3-difluoropyrrolidine",C1CNCC1(F)F,316131-01-8,,2D database
242,A,DTPA,,C11H20S2N+,[NH3+]CCCC1=CSC(=C1)C2=CC=CS2,"2,2'-bithiophene",3-(5-thiophen-2-ylthiophen-3-yl)propylazanium,,3-(5-thiophen-2-ylthiophen-3-yl)propan-1-amine,NCCCC1=CSC(=C1)C2=CC=CS2,,,2D database
243,A,CCA,,C7H14NO2+,C1CC(CCC1C(=O)O)[NH3+],4-aminocyclohexanecarboxylic acid,(4-carboxycyclohexyl)azanium,,4-aminocyclohexane-1-carboxylic acid,C1CC(CCC1C(=O)O)N,1776-53-0,,2D database
244,A,CCMA,,C8H16NO2+,C1CC(CCC1C[NH3+])C(=O)O,4-Aminomethyl-1-cyclohexanecarboxylate,(4-carboxycyclohexyl)methylazanium,,4-(aminomethyl)cyclohexane-1-carboxylic acid,C1CC(CCC1CN)C(=O)O,701-54-2,,2D database
245,A,CHDMA,,C8H20N2+2,C1CC(CCC1C[NH3+])C[NH3+],"1,4-cyclohexanedimethylammonium",[4-(azaniumylmethyl)cyclohexyl]methylazanium,,[4-(aminomethyl)cyclohexyl]methanamine,C1CC(CCC1CN)CN,2549-93-1,,2D database
246,A,OYA,,C5H12NO+,C1CC(COC1)[NH3+],tetrahydropyranylammonium,oxan-3-ylazanium,,oxan-3-amine,C1CC(COC1)N,120811-32-7,,2D database
247,A,R-CHD,,C6H16N2+2,C1CCC(C(C1)[NH3+])N,"(1R, 2R)-(-)-1,2-Cyclohexanediammonium",(2-azaniumylcyclohexyl)azanium,,"cyclohexane-1,2-diamine",C1CCC(C(C1)N)N,694-83-7,,2D database
248,A,S-CHD,,C6H16N2+2,C1CCC(C(C1)[NH3+])N,"(1S, 2S)-(+)-1,2-Diaminocyclohexane",(2-azaniumylcyclohexyl)azanium,,"cyclohexane-1,2-diamine",C1CCC(C(C1)N)N,694-83-7,,2D database
249,A,PPAE,,C7H18N2+2,C1CC[NH+](CC1)CC[NH3+],2-(aminoethyl)piperidinium,2-piperidin-1-ium-1-ylethylazanium,,2-piperidin-1-ylethanamine,C1CCN(CC1)CCN,27578-60-5,,2D database
250,A,PPIEA,,C6H17N3+2,C1CN(CC[NH2+]1)CC[NH3+],1-(2-Aminoethyl)piperazinium,2-piperazin-4-ium-1-ylethylazanium,,2-piperazin-1-ylethanamine,C1CN(CCN1)CCN,140-31-8,,2D database
251,A,DFPD,,C5H10F2N+,C1C[NH2+]CCC1(F)F,"4,4-difluoropiperidinium","4,4-difluoropiperidin-1-ium",,"4,4-difluoropiperidine",C1CNCCC1(F)F,21987-29-1,,2D database
252,A,APDA,,C5H16N2+2,C[NH+](C)CCC[NH3+],"N,N-dimethyl-1,3-diaminopropane",3-azaniumylpropyl(dimethyl)azanium,,"N',N'-dimethylpropane-1,3-diamine",CN(C)CCCN,109-55-7,,2D database
253,A,R-BPEA,,C8H11BrN+,CC(C1=CC=C(C=C1)Br)[NH3+],R-1-(4-bromophenyl)ethylaminium,1-(4-bromophenyl)ethylazanium,,1-(4-bromophenyl)ethanamine,CC(C1=CC=C(C=C1)Br)N,24358-62-1,,2D database
254,A,S-BPEA,,C8H11BrN+,CC(C1=CC=C(C=C1)Br)[NH3+],S-1-(4-bromophenyl)ethylaminium,1-(4-bromophenyl)ethylazanium,,1-(4-bromophenyl)ethanamine,CC(C1=CC=C(C=C1)Br)N,27298-97-1,,2D database
255,A,NAYEA,,C12H14N+,CC(C1=CC2=CC=CC=C2C=C1)[NH3+],1-(2-naphthyl)ethylammonium,[(1R)-1-naphthalen-2-ylethyl]azanium,,(1R)-1-naphthalen-2-ylethanamine,CC(C1=CC2=CC=CC=C2C=C1)N,3906-16-9,,2D database
256,A,MePEA,2meptH2,C6H18N2+2,CC(CCC[NH3+])C[NH3+],"2-Methylpentane-1,5-diammonium",(5-azaniumyl-2-methylpentyl)azanium,,"2-methylpentane-1,5-diamine",CC(CCCN)CN,15520-10-2,,2D database
257,A,MeBA,,C5H14N+,CCC(C)C[NH3+],(S)-(−)-2-methylbutylammonium,[(2S)-2-methylbutyl]azanium,,(2S)-2-methylbutan-1-amine,CCC(C)CN,34985-37-0,,2D database
258,A,PRA,,C16H12N+,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)[NH3+],pyren-1-amine,pyren-1-ylazanium,,pyren-1-amine,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)N,1606-67-3,,2D database
259,A,PRMA,,C17H14N+,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)C[NH3+],pyren-1-ylmethanamine,pyren-1-ylmethylazanium,,pyren-1-ylmethanamine,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CN,3786-54-7,,2D database
260,A,PREA,,C18H16N+,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CC[NH3+],2-pyren-1-ylethanamine,2-pyren-1-ylethylazanium,,2-pyren-1-ylethanamine,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)CCN,197722-88-6,,2D database
261,A,DFHHA,,C6H12F2N+,C1CC(CC[NH2+]C1)(F)F,4-fluorohexahydroazepine,"4,4-difluoroazepan-1-ium",,"4,4-difluoroazepane",C1CC(CCNC1)(F)F,1094073-72-9,,2D database
262,A,TMTPT,Me3TPT,C21H21N6+3,C[N+]1=CC=C(C=C1)C2=NC(=NC(=N2)C3=CC=[N+](C=C3)C)C4=CC=[N+](C=C4)C,"Trimethyl-2,4,6-tris(4-pyridyl)-1,3,5-triazine","2,4,6-tris(1-methylpyridin-1-ium-4-yl)-1,3,5-triazine",42517-85-1,,,,,2D database
263,A,FMPE,,C7H9FN+,CC1=C(C=C(C=C1)[NH3+])F,3-fluoro-N-methylanilinium,(3-fluoro-4-methylphenyl)azanium,,3-fluoro-4-methylaniline,CC1=C(C=C(C=C1)N)F,452-77-7,,2D database
264,A,MePhEA,,C9H14N+,CC1=CC(=CC=C1)CC[NH3+],2-(3-Methylphenyl)ethylammonium,2-(3-methylphenyl)ethylazanium,55755-17-4,2-(3-methylphenyl)ethanamine,CC1=CC(=CC=C1)CCN,55755-17-4,,2D database
265,A,MMPEA,,C9H14N+,CC1=CC=C(C=C1)C(C)[NH3+],1-(p-tolyl)ethylammonium,1-(4-methylphenyl)ethylazanium,,1-(4-methylphenyl)ethanamine,CC1=CC=C(C=C1)C(C)N,586-70-9,,2D database
266,A,ETOEA,,C6N5O2H12+,C(C)OC1=NN=C(N=N1)OCC[NH3+],"2-(6-ethoxy-1,2,4,5-tetrazin-3-yl)oxyethylammonium","2-[(6-ethoxy-1,2,4,5-tetrazin-3-yl)oxy]ethylazanium",,"2-[(6-ethoxy-1,2,4,5-tetrazin-3-yl)oxy]ethylazanium",C(C)OC1=NN=C(N=N1)OCCN,,,2D database
267,A,TDMP,,C6H15N2+,CC1C[NH2+]C(CN1)C,"Trans-2,5-dimethyl piperazine","2,5-dimethylpiperazin-1-ium",,"2,5-dimethylpiperazine",CC1CNC(CN1)C,106-55-8,,2D database
268,A,PPPA,,C7H18N2+2,CCC[NH+]1CC[NH2+]CC1,Propylpiperazinium,"1-propylpiperazine-1,4-diium",,1-propylpiperazine,CCCN1CCNCC1,50733-94-3,,2D database
269,A,PhMEA,,C9H14N+ ,CCC[NH2+]C1=CC=CC=C1,Phenyl-2-methylethylammonium,phenyl(propyl)azanium,,N-propylaniline,CCCNC1=CC=CC=C1,622-80-0,,2D database
270,A,2TImI,,C11H9N2S2+,S1C(=CC=C1)C1=CC=C(S1)C=1[NH+]=CNC1,4-(5-(thiophen-2-yl)thiophen-2-yl)-1H-imidazolium,4-(5-thiophen-2-ylthiophen-2-yl)imidazol-1-ium,,4-(5-thiophen-2-ylthiophen-2-yl)-1H-imidazole,S1C(=CC=C1)C1=CC=C(S1)C=1N=CNC1,,,2D database
271,A,MF,,C4H13N5+2,C[N+](=C(N)[NH+]=C(N)N)C,"N,N-dimethylbiguanidinium",[amino(diaminomethylideneazaniumyl)methylidene]-dimethylazanium,,"2-carbamimidoyl-1,1-dimethylguanidine",CN(C)C(=NC(=N)N)N,657-24-9,,2D database
272,A,CNA,,C10H22NO2+,C(CCCCC(=O)O)CCCC[NH3+],9-carboxynonylazanium,9-carboxynonylazanium,,10-aminodecanoic acid,C(CCCCC(=O)O)CCCCN,,,2D database
273,A,TDA,,C13H30N+,CCCCCCCCCCCCC[NH3+],Tridecylammonium,tridecylazanium,,tridecan-1-amine,CCCCCCCCCCCCCN,2869-34-3,,2D database
274,A,PENDA,,C15H34N+,CCCCCCCCCCCCCCC[NH3+],Pentadecylammonium,pentadecylazanium,,pentadecan-1-amine,CCCCCCCCCCCCCCCN,2570-26-5,,2D database
275,A,HEXDA,,C16H36N+,CCCCCCCCCCCCCCCC[NH3+],Hexadecylammonium,hexadecylazanium,1602-97-7,hexadecan-1-amine,CCCCCCCCCCCCCCCCN,143-27-1,,2D database
276,A,DDNA,,C10H16N+,CCCCC#CC#CCC[NH3+],"Deca-3,5-diyn-1-ammonium","deca-3,5-diynylazanium",,"deca-3,5-diyn-1-amine",CCCCC#CC#CCCN,,,2D database
277,A,TFAI,2TFAI,C10H14N2SO+,[NH3+]C(N)CC1=CC=C(S1)C2=CC=CS2,2-(5-(thiophen-2-yl)thiophen-2-yl)acetamidinium,[1-amino-2-(5-thiophen-2-ylthiophen-2-yl)ethyl]azanium,,"2-(5-thiophen-2-ylthiophen-2-yl)ethane-1,1-diamine",NC(N)CC1=CC=C(S1)C2=CC=CS2,,,2D database
278,A,UDA,,C11H26N+,CCCCCCCCCCC[NH3+],Undecylammonium,undecylazanium,,undecan-1-amine,CCCCCCCCCCCN,7307-55-3,,2D database
279,A,FPT,,C12FH14N2S+2,[NH3+]CC1=CC(=C(C=C1)C1=CC=C(S1)C[NH3+])F,(5-(4-(ammoniomethyl)-2-fluorophenyl)thiophen-2-yl)methanaminium,[NH3+]CC1=CC(=C(C=C1)C1=CC=C(S1)C[NH3+])F,,[4-[5-(aminomethyl)thiophen-2-yl]-3-fluorophenyl]methanamine,NCC1=CC(=C(C=C1)C1=CC=C(S1)CN)F,,,2D database
280,A,IDPA,,C3H9IN+,CC(C[NH3+])I,2-iodopropylammonium,2-iodopropylazanium,,2-iodopropan-1-amine,CC(CN)I,20893-41-8,,2D database
281,A,DMPDA,DMePDA,C5H15N2+,CN(C)CCC[NH3+],"N,N-dimethylpropane-1,3-diammonium",3-(dimethylamino)propylazanium,,"N',N'-dimethylpropane-1,3-diamine",CN(C)CCCN,109-55-7,,2D database
282,A,PROPA,,C5H15N2+,C[NH2+]CCC[NH2+]C,"N,N'-dimethyl-1,3-propanediammonium",methyl-[3-(methylazaniumyl)propyl]azanium,,"N,N'-dimethylpropane-1,3-diamine",CNCCCNC,111-33-1,,2D database
283,A,MH,,CH7N2+,CN[NH3+],Methylhydrazinium,methylaminoazanium,,methylhydrazine,CNN,60-34-4,,2D database
284,A,MPRA,MPA,C4H12NO+ ,COCCC[NH3+],γ-Methoxypropylammonium,3-methoxypropylazanium  ,,3-methoxypropan-1-amine,COCCCN,5332-73-0,,2D database
285,A,CP,3CP,C6H5N2+,C1=CC=[NH+]C(=C1)C#N,Cyanopyridinium,pyridin-1-ium-2-carbonitrile,82105-90-6,pyridine-2-carbonitrile,C1=CC=NC(=C1)C#N,100-70-9,,2D database
286,A,CYEA,,"
C3H7N2+",C(C[NH3+])C#N,2-cyanoethylammonium,2-cyanoethylazanium,,3-aminopropanenitrile,C(CN)C#N,151-18-8,,2D database
287,A,PIYEA,,C7H12N2+2,C1=CC=[NH+]C(=C1)CC[NH3+],2-(2-Pyridyl)ethylammonium,2-pyridin-1-ium-2-ylethylazanium,,2-pyridin-2-ylethanamine,C1=CC=NC(=C1)CCN,2706-56-1,,2D database
288,A,ATHP,,C5H12NO+,C1COCCC1[NH3+],tetrahydropyranylammonium,oxan-4-ylazanium,,oxan-4-amine,C1COCCC1N,38041-19-9,,2D database
289,A,BTm,,C22H20N3S4+,CC1=C(SC=C1)C2=CC=C(C3=NSN=C23)C4=C(C=C(S4)C5=CC=C(S5)CC[NH3+])C,"2-[5-[4-methyl-5-[7-(3-methylthiophen-2-yl)-2,1,3-benzothiadiazol-4-yl]thiophen-2-yl]thiophen-2-yl]ethylammonium","2-[5-[4-methyl-5-[7-(3-methylthiophen-2-yl)-2,1,3-benzothiadiazol-4-yl]thiophen-2-yl]thiophen-2-yl]ethylazanium",,"2-[5-[4-methyl-5-[7-(3-methylthiophen-2-yl)-2,1,3-benzothiadiazol-4-yl]thiophen-2-yl]thiophen-2-yl]ethanamine",CC1=C(SC=C1)C2=CC=C(C3=NSN=C23)C4=C(C=C(S4)C5=CC=C(S5)CCN)C,,,2D database
290,A,Tu,,CH5N2S+,C(=S)([NH3+])N,thiourea,carbamothioylazanium,,thiourea,C(=S)(N)N,62-56-6,,2D database
291,A,ClCA,MBA,C6H13ClN+,C1CC(CCC1[NH3+])Cl,R-4-Cl-MBA,(4-chlorocyclohexyl)azanium,,4-chlorocyclohexan-1-amine,C1CC(CCC1N)Cl,,,2D database
292,A,MNBA,,C5H13O2N2+,ON(O)C1CCC([NH3+])CC1,(S)-α-methyl-4-nitrobenzylamonium,[4-(dihydroxyamino)cyclohexyl]azanium,,"4-N,4-N-dihydroxycyclohexane-1,4-diamine",ON(O)C1CCC(N)CC1,,,2D database
293,A,4T,,C18H16S4N+,C1=C(SC=C1)C2=CC=C(S2)C3=CC=C(S3)C4=CC=C(S4)CC[NH3+],"2-(3''',4'-dimethyl- [2,2':5',2'':5'',2'''- quaterthiophen]-5-yl)ethan-1-ammonium",2-[5-[5-(5-thiophen-2-ylthiophen-2-yl)thiophen-2-yl]thiophen-2-yl]ethylazanium,,2-[5-[5-(5-thiophen-2-ylthiophen-2-yl)thiophen-2-yl]thiophen-2-yl]ethanamine,C1=C(SC=C1)C2=CC=C(S2)C3=CC=C(S3)C4=CC=C(S4)CCN,,,2D database
294,A,NAA,1-NA,C10H10N+,C1=CC=C2C(=C1)C=CC=C2[NH3+],1-naphthylamine,naphthalen-1-ylazanium,70450-98-5,naphthalen-1-amine,C1=CC=C2C(=C1)C=CC=C2N,134-32-7,,Paper
295,A,FUMA,FuMA,C5H8NO+,C1=COC(=C1)C[NH3+],2-furfurylammonium,furan-2-ylmethylazanium,,furan-2-ylmethanamine,C1=COC(=C1)CN,617-89-0,,Paper
1,B,Pb,,Pb+2,[Pb+2],Lead,lead(2+),14280-50-3,Lead,[Pb],7439-92-1,42297.0,
2,B,Sn,,Sn+2,[Sn+2],Tin,tin(2+),22541-90-8,Tin,[Sn],7440-31-5,1223.0,
3,B,Bi,,Bi+3,[Bi+3],Bismuth ,bismuth(3+),23713-46-4,Bismuth ,[Bi],7440-69-9,366.0,
4,B,Sb,,Sb+3,[Sb+3],Antimony,Antimony(3+),23713-48-6,Antimony,[Sb],7440-36-0,137.0,
5,B,Ag,,Ag+,[Ag+],Silver,Silver(1+),14701-21-4,Silver,[Ag],7440-22-4,57.0,
6,B,Cu,,Cu+2,[Cu+2],Copper,Copper(2+),15158-11-9,Copper,[Cu],7440-50-8,28.0,
7,B,Ge,,Ge+2,[Ge+2],Germanium,Gemanium(2+),,Germanium,[Ge],7440-56-4,21.0,
8,B,Sr,,Sr+2,[Sr+2],Strontium,Strontium(2+),22537-39-9,Strontium,[Sr],7440-24-6,20.0,
9,B,Ba,,Ba+2,[Ba+2],Barium,Barium(2+),22541-12-4,Barium,[Ba],7440-39-3,20.0,
10,B,Fe,,Fe+2,[Fe+2],Iron,Iron(2+),15438-31-0,Iron,[Fe],7439-89-6,19.0,
11,B,Co,,Co+2,[Co+2],Cobolt,Cobolt(2+),22541-53-3,Cobolt,[Co],7440-48-4,15.0,
12,B,Zn,,Zn+2,[Zn+2],Zink,Zink(2+),23713-49-7,Zink,[Zn],7440-66-6,14.0,
13,B,Ni,,Ni+2,[Ni+2],Nickel,Nickel(2+),14701-22-5,Nickel,[Ni],7440-02-0,12.0,
14,B,Eu,,Eu+2,[Eu+2],Europium,Europium(2+),16910-54-6,Europium,[Eu],7440-53-1,12.0,
15,B,Te,,Te+4,[Te+4],Telurium,Telurium(4+),22537-55-9,Telurium,[Te],13494-80-9,11.0,
16,B,Ca,,Ca+2,[Ca+2],Calcium,Calcium(2+),14127-61-8,Calcium,[Ca],7440-70-2,10.0,
17,B,Mn,,Mn+2,[Mn+2],Manganese,Manganese(2+),16397-91-4,Manganese,[Mn],7439-96-5,10.0,
18,B,Hg,,Hg+2,[Hg+2],Mercury,Mercury(2+),14302-87-5,Mercury,[Hg],7439-97-6,8.0,
19,B,Pt,,Pt+4,[Pt+4],Platinum,Platinum(4+),22541-31-7,Platinum,[Pt],7440-06-04,7.0,
20,B,Mg,,Mg+2,[Mg+2],Magnesium,Magnesium(2+),22537-22-0,Magnesium,[Mg],7439-95-4,6.0,
21,B,La,,La+3,[La+3],Lanthanum,Lanthanum(3+),16096-89-2,Lanthanum,[La],7439-91-0,6.0,
22,B,In,,In+3,[In+3],Indium,Indium(3+),22537-49-1,Indium,[In],7440-74-6,5.0,
23,B,Tb,,Tb+3,[Tb+3],Terbium,Terbium(3+),22541-20-4,Terbium,[Tb],7440-27-9,4.0,
24,B,Nb,,Nb+5,[Nb+5],Niobium,Niobium(5+),7440-03-01,Niobium,[Nb],7440-03-01,4.0,
25,B,Ti,,Ti+4,[Ti+4],Titanium,Titanium(4+),16043-45-1,Titanium,[Ti],7440-32-6,3.0,
26,B,Y,,Y+2,[Yt+2],Yttrium,Yttrium(2+),7440-65-5,Yttrium,[Y],7440-65-5,2.0,
27,B,Al,,Al+3,[Al+3],Aluminium,Aluminium(3+),22537-23-1,Aluminium,[Al],7429-90-5,1.0,
28,B,Sm,,Sm+3,[Sm+3],Samarium,Samarium(3+),22541-17-9,Samarium,[Sm],7440-19-9,1.0,
29,B,Cr,,Cr+3,[Cr+3],Chromium,Chromium(3+),16065-83-1,Chromium,[Cr],7440-47-3,1.0,
30,B,Au,,Au+,[Au+],Gold,Gold(+),20681-14-5,Gold,[Au],7440-57-5,1.0,
31,B,Au,,Au+3,[Au+3],Gold,Gold(3+),16065-91-1,Gold,[Au],7440-57-5,1.0,
1,X,I,,I-,[I-],Iodide,Iodide,20461-54-5,molecular iodine,II,7553-56-2,42324.0,
2,X,Br,,Br-,[Br-],Bromide,Bromide,24959-67-9,molecular bromine,BrBr,7726-95-6,10764.0,
3,X,Cl,,Cl-,[Cl-],Chloride,Chloride,16887-00-6,molecular chlorine,ClCl,7782-50-5,92.0,
4,X,O,,O-2,[O-2],Oxide,Oxygen(2-),16833-27-5,molecular oxygen,O=O,7782-44-7,32.0,
5,X,S,,S-2,[S-2],Sulfide,Sulfide,18496-25-8,Sulfur,[S],7704-34-9,26.0,
6,X,SCN,,CNS-,C(#N)[S-],Thiocyanate,Thiocyanate,302-04-5,thiocyanic acid,C(#N)S,463-56-9,12.0,
7,X,F,,F-,[F-],Flourie,Flouride,16984-48-8,molecular fluorine,FF,7782-41-4,12.0,
8,X,PF6,,F6P-,F[P-](F)(F)(F)(F)F,Hexafluorophosphate,Hexafluorophosphate,16919-18-9,hydron;hexafluorophosphate,[H+].F[P-](F)(F)(F)(F)F,16940-81-1,11.0,
9,X,BF4,,BF4-,[B-](F)(F)(F)F,Tetrafluoroborate,Tetrafluoroborate,14874-70-5,hydron;tetrafluoroborate,[H+].[B-](F)(F)(F)F,16872-11-0,9.0,
