Index,perovskite_ion_type,abbreviation,alternative_abbreviations,molecular_formula,smile,common_name,iupac_name,cas_number,source_compound_iupac_name,source_compound_smile,source_compound_cas_number,number_of_occurances_in_the_perovskite_database,source
60,A,PEA,,C8H12N+,C1=CC=C(C=C1)CC[NH3+],Phenylethylammonium,2-phenylethylazanium,,2-phenylethanamine,C1=CC=C(C=C1)CCN,64-04-0,268.0,Perovskite database
61,A,PPA,,C9H14N+,C1=CC=C(C=C1)CCC[NH3+],3-phenylpropylamine,3-phenylpropylazanium,,3-phenylpropan-1-amine,C1=CC=C(C=C1)CCCN,2038-57-5,2.0,Perovskite database
62,A,PBA,,C10H16N+,C1=CC=C(C=C1)CCCC[NH3+], 4-phenylbutan-1-aminium,4-phenylbutylazanium,,4-phenylbutan-1-amine,C1=CC=C(C=C1)CCCCN,13214-66-9,8.0,Perovskite database
63,A,NMA,,C11H12N+,C1=CC=C2C(=C1)C=CC=C2C[NH3+],1-naphthylmethylammonium,naphthalen-1-ylmethylazanium,,naphthalen-1-ylmethanamine,C1=CC=C2C(=C1)C=CC=C2CN,118-31-0,4.0,Perovskite database
64,A,BIM,BI,C7H7N2+,C1=CC=C2C(=C1)NC=[NH+]2,Benzimidazolium,1H-benzimidazol-3-ium,,1H-benzimidazole,C1=CC=C2C(=C1)NC=N2,51-17-2,2.0,Perovskite database
65,A,ImEA,,C5H11N3+2,C1=CN(C=[NH+]1)CC[NH3+],Imidazolium ethylammonium,2-imidazol-3-ium-1-ylethylazanium,,2-imidazol-1-ylethanamine,C1=CN(C=N1)CCN,5739-10-6,9.0,Perovskite database
66,A,BiIM,BIM,C6H6N4,C1=CN=C(N1)C2=[NH+]C=CN2,"2,2'-Biimidazole",2-(1H-imidazol-2-yl)-1H-imidazole,,2-(1H-imidazol-2-yl)-1H-imidazole,C1=CN=C(N1)C2=NC=CN2,492-98-8,4.0,Perovskite database
67,A,APY,4ApyH,C5H7N2+,C1=CN=CC=C1[NH3+],4-aminopyridine,pyridin-1-ium-4-amine,,pyridin-4-amine,C1=CN=CC=C1N,504-24-5,2.0,Perovskite database
68,A,ThMA,ThPEA,C5H8NS+,C1=CSC(=C1)C[NH3+],2-thiophenem-ethylammonium ,thiophen-2-ylmethylazanium,,thiophen-2-ylmethanamine,C1=CSC(=C1)CN,27757-85-3,29.0,Perovskite database
69,A,ThEA,TEA,C6H10NS+,C1=CSC(=C1)CC[NH3+],Thiophene−2−ethylamine,2-thiophen-2-ylethylazanium,,2-thiophen-2-ylethanamine,C1=CSC(=C1)CCN,30433-91-1,2.0,Perovskite database
70,A,ThA,TA,C3H4NS+,C1=CSC=[NH+]1,Thiazole ammonium,"1,3-thiazol-3-ium",,"1,3-thiazole",C1=CSC=N1,288-47-1,3.0,Perovskite database
71,A,AMP,3AMP,C6H9N2+,C1=CC(=CN=C1)C[NH3+], 3-(aminomethyl)piperidinium,piperidin-3-ylmethazanium,,piperidin-3-ylmethanamine,C1CC(CNC1)CN,23099-21-0,15.0,Perovskite database
72,A,CPA,CA,C3H8N+,C1CC1[NH3+],Cyclopropylamine,cyclopropylazanium,,cyclopropanamine,C1CC1N,765-30-0,5.0,Perovskite database
73,A,CHMA,,C7H16N+,C1CCC(CC1)C[NH3+],Cyclohexylmethylammonium,cyclohexylmethylazanium,,cyclohexylmethanamine,C1CCC(CC1)CN,3218-02-8,7.0,Perovskite database
74,A,PEI,,(C2H5N)n,C1CN1,Polyethylenimine ,Poly(iminoethylene),,Polyethylenimine,C1CN1,9002-98-6,18.0,Perovskite database
75,A,4AMP,,C6H15N2+,C1CNCCC1C[NH3+],4-(aminomethyl)piperidinium,piperidin-4-ylmethazanium,,piperidin-4-ylmethanamine,C1CNCCC1CN,7144-05-0,2.0,Perovskite database
76,A,ACE,"Aa, Ace",C2H7N2+,CC(=[NH2+])N,Acetamidinium ,1-aminoethylideneazanium,,ethanimidamide,CC(=N)N,143-37-3,9.0,Perovskite database
77,A,TBA,,C4H12N+,CC(C)(C)[NH3+],Tert-butylammonium,tert-butylazanium,,2-methylpropan-2-amine,CC(C)(C)N,75-64-9,18.0,Perovskite database
78,A,IPAM,iPA,C3H10N+,CC(C)[NH3+],Isopropylammonium ,propan-2-ylazanium,,propan-2-amine,CC(C)N,75-31-0,2.0,Perovskite database
