Experiment,Perovskite,Halogen,N_Slab,Molecule,Eslab,TotalAtoms,A,B,C,Alpha,Beta,Gamma,Emol,NCarbonsMol,NNitrogensMol,NHydrogensMol,FamilyMol,ParityMol,NormEnergy,MolAtoms,NormEmol
MAPbCl3_n3_CC(C)(CC[NH3+])C(C)(C)CC[NH3+],MAPbCl3,Cl,3,CC(C)(CC[NH3+])C(C)(C)CC[NH3+],-647.73028537,134.0,8.242856143451947,7.869349195769476,24.00717955703056,91.59086335478678,89.02782342315244,91.64182898843416,-205.40703172,10,2,26,branch,even,-1.768031506940299,38,-5.405448203157895
MAPbCl3_n2_[NH3+]CCCCCCCC[NH3+],MAPbCl3,Cl,2,[NH3+]CCCCCCCC[NH3+],-504.54587313,98.0,7.584709636112873,7.835282032749051,21.84623441260392,88.51286116514996,88.55593211726499,89.62010489970704,-171.34456379,8,2,22,lineal,even,-1.6515994443877553,32,-5.3545176184375
MAPbCl3_n3_CC(C)(CCC[NH3+])C(C)(C)CCC[NH3+],MAPbCl3,Cl,3,CC(C)(CCC[NH3+])C(C)(C)CCC[NH3+],-716.4455843600001,146.0,8.143915923556143,7.857142678968203,26.1149216502925,93.91606048872714,98.38559874818277,90.76749073749865,-239.68893898,12,2,30,branch,even,-1.623751413698631,44,-5.447475885909091
MAPbCl3_n1_[NH3+]CCCCCCCCCC[NH3+],MAPbCl3,Cl,1,[NH3+]CCCCCCCCCC[NH3+],-498.5307905,86.0,6.5162513200056456,8.126208724616152,17.331622442809298,119.078003926833,90.31360111350794,89.68998842335128,-205.48700074,10,2,26,lineal,even,-1.0181021979069766,38,-5.407552651052632
MAPbCl3_n2_[NH3+]CCCC1CCC(CCC[NH3+])CC1,MAPbCl3,Cl,2,[NH3+]CCCC1CCC(CCC[NH3+])CC1,-626.50169331,118.0,7.859234566431125,7.7847434844548085,21.968734512823485,95.3821187923617,90.21935692957504,89.56406015520156,-232.03610252,12,2,28,cyclic,even,-1.3765210870338982,42,-5.524669107619047
MAPbCl3_n1_[NH3+]CCCC[NH3+],MAPbCl3,Cl,1,[NH3+]CCCC[NH3+],-292.12168043,50.0,7.816744485593457,7.448589238941389,10.977589044681542,80.95380240664197,89.88516903110408,89.04441214250443,-102.71394975,4,2,14,lineal,even,-1.7338756186000006,20,-5.1356974875
MAPbCl3_n3_[NH3+]CCCC1CCC(CCC[NH3+])CC1,MAPbCl3,Cl,3,[NH3+]CCCC1CCC(CCC[NH3+])CC1,-701.5157891199999,142.0,7.912842550545337,7.814050950506325,27.45838108108764,94.02404898465088,86.63349356854617,89.41124983429592,-232.03610252,12,2,28,cyclic,even,-1.6721379160563377,42,-5.524669107619047
MAPbCl3_n1_[NH3+]C1=CC=C([NH3+])C=C1,MAPbCl3,Cl,1,[NH3+]C1=CC=C([NH3+])C=C1,-298.67197148,46.0,7.695118572289559,7.541218394941865,10.577269448360134,96.46139937990716,89.99664417971661,90.0015152240433,-106.77937656,6,2,10,benzene,even,-1.8502873556521744,18,-5.932187586666667
MAPbCl3_n1_[NH3+]CCC1CCC(CC[NH3+])CC1,MAPbCl3,Cl,1,[NH3+]CCC1CCC(CC[NH3+])CC1,-482.69083868,82.0,7.804289810098882,7.771249364933752,13.808490872139059,93.67820046600592,84.73860542755868,88.48101852240697,-197.7105717,10,2,24,cyclic,even,-1.064264576585366,36,-5.491960325
MAPbCl3_n3_CC(C)(C[NH3+])C(C)(C)C[NH3+],MAPbCl3,Cl,3,CC(C)(C[NH3+])C(C)(C)C[NH3+],-578.37039196,122.0,8.00815170794535,8.24853953023777,22.123671585973646,89.27119214357671,88.95136221063241,89.13445207542009,-171.16718275,8,2,22,branch,even,-1.9347215283606558,32,-5.3489744609375
MAPbCl3_n2_[NH3+]CCC1=CC=C(CC[NH3+])C=C1,MAPbCl3,Cl,2,[NH3+]CCC1=CC=C(CC[NH3+])C=C1,-511.75580492999995,94.0,7.670419187404149,7.763506346459135,20.079665971277173,80.86932746780887,80.14506585943161,90.1132983715743,-174.85017724,10,2,18,benzene,even,-1.7239941537234038,30,-5.8283392413333335
MAPbCl3_n1_CC(C)(CC[NH3+])CC[NH3+],MAPbCl3,Cl,1,CC(C)(CC[NH3+])CC[NH3+],-395.23662525000003,68.0,7.805559022231868,7.763236045938707,12.276218696965001,90.37338669731655,87.6383935485359,92.8321355177444,-154.18603206,7,2,20,branch,odd,-1.2774200166176475,29,-5.316759726206897
