experiment,halogen_X,n_octahedra,actual_octahedra,A,B,C,Alpha,Beta,Gamma,cell_volume,low_to_high_plane,a_over_b,alpha_over_beta
MAPbCl3_n3_[NH3+]CCCC[NH3+]_analysis,Cl,3,6,7.677269411333978,7.992296407913144,22.093278620347412,90.79271823681181,89.07211192124967,90.36644984931841,1355.2884472629762,7.721446386324785,0.9605836695111485,1.0193170037001409
MAPbCl3_n2_[NH3+]CCC1CCC(CC[NH3+])CC1_analysis,Cl,2,4,7.775625990595573,7.769319767527055,18.829728314995762,93.07848473114939,86.68362237163655,89.8715166552793,1133.9687003442266,9.364168507424747,1.0008116827801163,1.0737724403359183
MAPbBr3_n1_[NH3+]CC1CCC(C[NH3+])CC1_analysis,Br,1,2,8.136388820063326,8.185814026680728,12.057180276766184,91.33946547310723,96.8717144115842,92.07245726890038,796.4431803987691,5.895556814540181,0.9939620902140819,0.9428909772880472
MAPbBr3_n2_[NH3+]CCCCCCCC[NH3+]_analysis,Br,2,4,8.200834361745663,7.986937452215528,21.36212603511191,81.70792550720968,79.79688516403066,90.08423105366153,1362.1617305014677,9.911526324079471,1.0267808419447182,1.0239488087692983
MAPbCl3_n1_[NH3+]CCC1=CC=C(CC[NH3+])C=C1_analysis,Cl,1,2,7.8111647032984495,7.4863592083638,14.12984784074862,83.0947553079443,106.43136699543616,90.12103298461653,786.337836654353,8.919540347481885,1.0433863091383293,0.7807355825046148
MAPbBr3_n3_[NH3+]C1=CC=C([NH3+])C=C1_analysis,Br,3,6,7.843233153558001,8.4295459665434,22.912413797615518,88.65285031297067,88.5684406797614,89.7605866475493,1513.9506569529901,8.047458072769457,0.9304455049758961,1.000953044138086
MAPbCl3_n1_CC(C)(CC[NH3+])CC[NH3+]_analysis,Cl,1,2,7.80555901998356,7.763236048955719,12.276218699197216,90.37338670190019,87.63839356376684,92.83213552123408,742.3474913289839,6.51022367977375,1.0054517176549764,1.031207705058438
MAPbCl3_n3_CC(C)(CCC[NH3+])C(C)(C)CCC[NH3_analysis,Cl,3,6,8.143915919158236,7.857142674443572,26.114921654077392,93.91606050566759,98.38559876092978,90.76749072941122,1648.8525262961966,10.196901424179812,1.0364984138123687,0.9545712145725427
MAPbCl3_n2_CC(C)(CCCC[NH3+])CCCC[NH3+]_analysis,Cl,2,4,7.849600406530766,7.8000536016414905,21.75810798635068,85.45679681118477,101.30398810928345,90.70459426361785,1302.2353604947652,10.800366797903225,1.0063521108212448,0.843567942448591
MAPbBr3_n1_CC(C)(C[NH3+])C[NH3+]_analysis,Br,1,2,8.045334444558293,8.313092377806273,10.229526216686203,90.0295903041444,85.4972476287462,89.89371016039739,682.0542045226692,7.974330588468581,0.9677908146476488,1.0530115623730831
MAPbI3_n3_CC(C)(C[NH3+])C[NH3+]_analysis,I,3,6,8.53097387728634,8.856323947365413,23.204421700907282,90.61335831039946,90.70365289484474,89.66917027717568,1752.9046872949073,8.190493189906093,0.9632635310075963,0.9990045099446
